Part No.,Part Type,Description,QPA,Level,Qty per Batch (100pcs),Total Qty
10301R0150620HF0,貼片電阻,晶片超低阻合金電阻0.015Ω 1% 2512 3W  TYPE: MCR,0,3,100,0
10301R0150621HF0,貼片電阻,晶片超低阻合金電阻0.015Ω 1% 2512 3W  TYPE: LMR,4,3,100,400
1030122K02240HF0,貼片電阻,22K±5% 0805   1/8W,1,3,100,100
1030147R02320HF0,貼片電阻,47Ω±1% 1206  1/4W,4,3,100,400
103016M202320HF0,貼片電阻,6.2M±1% 1206  1/4W,5,3,100,500
103018M202320HF0,貼片電阻,8.2M±1% 1206  1/4W,2,3,100,200
10301R0250620HF0,貼片電阻,晶片超低阻合金電阻0.025Ω1% 2512 3W TYPE: MCR,0,3,100,0
10301R0250621HF0,貼片電阻,晶片超低阻合金電阻0.025Ω1% 2512 3W TYPE: LMR,4,3,100,400
1030151K02220HF0,貼片電阻,51K±1% 0805  1/8W,1,3,100,100
103012R702240HF0,貼片電阻,2.7Ω±5% 0805  1/8W,1,3,100,100
1030147R02321HF0,貼片電阻,47Ω±1% 1206  1/4W,2,3,100,200
1030110R02320HF0,貼片電阻,10Ω±1% 1206  1/4W,1,3,100,100
10301300K2320HF0,貼片電阻,300K±1% 1206  1/4W,1,3,100,100
10301100R2240HF0,貼片電阻,100Ω±5% 0805  1/8W,2,3,100,200
1030100R02240HF0,貼片電阻,0Ω±5% 0805  1/8W,7,3,100,700
10301187K2220HF0,貼片電阻,187K±1% 0805  1/8W,1,3,100,100
103013K302220HF0,貼片電阻,3.3K±1% 0805  1/8W,2,3,100,200
103012M702320HF0,貼片電阻,2.7M±1% 1206  1/4W,2,3,100,200
1030147K02240HF0,貼片電阻,47K±5% 0805  1/8W,2,3,100,200
10301220K2320HF0,貼片電阻,220K ±1% 1206  1/4W,1,3,100,100
103016R202240HF0,貼片電阻,6.2Ω±5% 0805  1/8W,1,3,100,100
1030120K02240HF0,貼片電阻,20K±5% 0805  1/8W,1,3,100,100
1030118K02220HF0,貼片電阻,18K±1% 0805  1/8W,1,3,100,100
103019K102220HF0,貼片電阻,9.1K±1% 0805  1/8W,1,3,100,100
1030110R02240HF0,貼片電阻,10Ω±5% 0805  1/8W,2,3,100,200
103012M002320HF0,貼片電阻,2M±1% 1206  1/4W,2,3,100,200
10301430K2340HF0,貼片電阻,430K±5% 1206  1/4W,1,3,100,100
103014K702240HF0,貼片電阻,4.7K±5% 0805  1/8W,9,3,100,900
103011R202320HF0,貼片電阻,1.2Ω±1% 1206  1/4W,1,3,100,100
10301150R2340HF0,貼片電阻,150Ω±5% 1206  1/4W,1,3,100,100
103011R302320HF0,貼片電阻,1.3Ω±1% 1206  1/4W,1,3,100,100
103014R702240HF0,貼片電阻,4.7Ω±5% 0805  1/8W,1,3,100,100
1030117K82220HF0,貼片電阻,17.8K±1% 0805  1/8W,1,3,100,100
10301787K2220HF0,貼片電阻,787K±1% 0805  1/8W  高精密薄膜晶片電阻器,2,3,100,200
1030178K72220HF0,貼片電阻,78.7K±1% 0805  1/8W 高精密薄膜晶片電阻器,1,3,100,100
1030156K02220HF0,貼片電阻,56K±1% 0805  1/8W 高精密薄膜晶片電阻器,2,3,100,200
103013K602220HF0,貼片電阻,3.6K±1% 0805 1/8W 高精密薄膜晶片電阻器,1,3,100,100
10301220K2240HF0,貼片電阻,220K±5% 0805  1/8W,1,3,100,100
10301100R2340HF0,貼片電阻,100Ω±5% 1206  1/4W,5,3,100,500
1026068PJ9220HF0,貼片電容,68PF/1KV±5% NPO 1206,2,3,100,200
1026047PJ9220HF0,貼片電容,47PF/1KV±5% NPO 1206,2,3,100,200
102610N0K0220HF0,貼片電容,103K/1KV±10% X7R 1206 軟端子,2,3,100,200
102601N0J9220HF0,貼片電容,102J/1KV±5% NPO 1206,5,3,100,500
1026100NK9060HF0,貼片電容,104K/50V±10% X7R 0805 厚度0.8mm,12,3,100,1200
102601N0K9060HF0,貼片電容,102K/50V±10% X7R 0805,8,3,100,800
1026100NK0080HF0,貼片電容,104K/100V±10% X7R 1206,1,3,100,100
102647N0K9060HF0,貼片電容,473K/50V±10% X7R 0805,3,3,100,300
102601U0K9060HF0,貼片電容,105K/50V±10% X7R 0805,1,3,100,100
1026100PJ9060HF0,貼片電容,101J/50V±5% NPO 0805,1,3,100,100
102604N7K9060HF0,貼片電容,472K/50V±10% X7R 0805,1,3,100,100
102602N2J9060HF0,貼片電容,222J/50V±5% NPO 0805,1,3,100,100
1026100PJ9220HF0,貼片電容,101J/1KV±5% NPO 1206,1,3,100,100
1026680NK9060HF0,貼片電容,684K/50V±10% X7R 1206,1,3,100,100
102610N0J9060HF0,貼片電容,103J/50V±5% NPO 0805,1,3,100,100
102622N0J9060HF0,貼片電容,223J/50V±5% NPO 0805,1,3,100,100
102608N2J9060HF0,貼片電容,822J/50V±5% NPO 0805,1,3,100,100
102610U0K9030HF0,貼片電容,10UF/16V±10% X7R 0805,1,3,100,100
1026220PJ9220HF0,貼片電容,221J/1KV±5% X7R 1206,5,3,100,500
1031201R03060HF0,電阻,熱敏電阻 Imax 13A / Max. Load Cap. 1000uF@240V,1,3,100,100
1 03 08 XXXX XX X 0HF0,電阻,壓敏電阻  VDR 14D471K* 高能量 P=7.5mm 腳長3.5-4.5mm 雷擊6KV 藍色 (阻值??),1,3,100,100
102401U0KA140HF0,電容,X2電容 1UF/300V ±10﹪ P=15mm 18*18.5*11mm 腳長3.5-4mm,2,3,100,200
102933N0JA220HFT,電容,金屬化聚丙烯膜電容 PMD 0.033uF±5% 1000V 耐溫105°18*12.0*6.0 P=15mm 腳長3.5-4mm 灰色,2,3,100,200
102947N0JA220HFT,電容,金屬化聚丙烯膜電容 PMD 0.047uF±5% 1000V 耐溫105°18*13.5*7.5 P=15mm 腳長3.5-4mm 灰色,1,3,100,100
102902U2J9190HFT,電容,薄膜電容 MMP 225J／450V 耐溫125° W18*T10*H18 P=15mm 腳長3.5-4,2,3,100,200
102502N2MA170HF0,電容,Y1電容 JT222M/400V P=10mm AI編帶工藝 藍色,2,3,100,200
102501N0MA170HF0,電容,Y1電容 JT102M/400V±20% P=10mm AI編帶工藝 藍色,2,3,100,200
1025220PMA170HF0,電容,Y1電容 JT221M/400V P=10mm AI編帶工藝 藍色,5,3,100,500
102502N2MA171HF0,電容,Y1電容 JT222M/400V P=10mm AI編帶工藝 藍色,1,3,100,100
1021330UM5190HFT,電容,電解電容 330uF/450V ±20% 105℃ ￠30*35mm 腳距:10mm 5KH,2,3,100,200
1021560UM5080HFT,電容,電解電容 560uF/100V ±20% 105℃ ￠18*35mm 腳距:7.5mm 5KH MF series,4,3,100,400
1021220UM5080HFT,電容,電解電容 220uF/100V ±20% 105℃ ￠13*25mm 腳距:5.0mm 5KH MF series ,1,3,100,100
1021470UM5030HFT,電容,電解電容 470uF/16V ±20% 105℃ ￠8*16mm 腳距:3.5mm 5KH HF series ,1,3,100,100
1021330UM5030HFT,電容,電解電容 330uF/16V ±20% 105℃ ￠8*12mm 腳距:3.5mm 5KH HF series ,1,3,100,100
1021100UM5060HFT,電容,電解電容 100uF/50V ±20% 105℃ ￠8*12mm 腳距:3.5mm 5KH,2,3,100,200
102147U0M5060HFT,電容,電解電容 47uF/50V ±20% 105℃ ￠6.3*11mm 腳距:2.5mm 5KH,7,3,100,700
1021220UM5070HFT,電容,電解電容 220uF/63V ±20% 105℃ ￠10*25mm 腳距:5.0mm 5KH HF series ,1,3,100,100
102110U0M5190HFT,電容,電解電容 10uF/450V ±20% 105℃ ￠10*20mm 腳距:5.0mm 5KH SEA series ,1,3,100,100
102112U0M4070HFT,電容,電解電容 12uF/63V ±20% 105℃ ￠5*11mm 腳距:2.0mm  4KH HF series ,1,3,100,100
1040701311600HFT,二極體,SiC Diode 20A/650V TO-247-2L,1,3,100,100
1040902066800HFT,二極體,Schottky Diode 10A/1KV  R-6,1,3,100,100
2213600470200HF0,高頻變壓器,高頻變壓器 EE2217 Lm  800uH,1,3,100,100
2213600480200HF0,高頻變壓器,高頻變壓器 EPC54 雙槽Bobbin Lm : 550uH LK : 55uH,1,3,100,100
1093006720500HF0,保險絲,陶瓷慢斷雙帽保險絲 5H 15A/250V5*20  帶引腳(長腳),1,3,100,100
MBNCMNPRT0000N10,套管.LED支架,J4T8 56,1,3,100,100
1080101412300HFT,場效應管,40A/650V TO-220F-3L RDS ON 72mΩ,4,3,100,400
1080101560400HFT,場效應管,80A/150V TO-220F RDS ON 9.6mΩ,2,3,100,200
1080101570400HFT,場效應管,95A/100V TO-220F RDS ON 3.6mΩ,2,3,100,200
1041002248300HFT,整流橋堆,整流橋堆 35A/1000V GBJ3510A,1,3,100,100
MRNCMNPRT0000N10,絕緣片,矽膠片  26*21*0.3MM (TO-247),1,3,100,100
MHHCQ01001011F10,散熱器,I型散熱器 40mm*50mm*6mm T=2.0mm 材質：鋁 C22B01H100-01,5,3,100,500
MHHCQ01001020F10,散熱器,散熱器 62mm*15mm*43mm T=3.0mm 材質：鋁 C22B01H200-00,2,3,100,200
MHHCQ01001032F10,散熱器,L型散熱器  38mm*58mm*44.5mm T=3.0mm 材質：鋁 C22B01H300-02,1,3,100,100
